Latitude belt,b,Z (m),alpha_d,Latitude circle,Delta p (mb),Delta z (km)
80-90N,2.924,137,0.376,80N,709,2
70-80N,2.927,220,0.379,70N,710,1
60-70N,2.878,202,0.330,60N,713,2
50-60N,2.891,296,0.343,50N,750,3
40-50N,2.908,382,0.360,40N,800,4
30-40N,2.870,496,0.322,30N,833,4
20-30N,2.826,366,0.278,20N,880,4
10-20N,2.809,146,0.261,10N,904,4
0-10N,2.808,158,0.260,0,906,4
0-10S,2.801,154,0.253,10S,904,4
10-20S,2.798,121,0.250,20S,880,4
20-30S,2.815,156,0.267,30S,833,4
30-40S,2.865,106,0.317,40S,800,4
40-50S,2.922,5,0.374,50S,750,4
50-60S,2.937,5,0.389,60S,713,4
60-70S,2.989,388,0.441,70S,710,3
70-80S,2.992,1420,0.444,80S,709,0
80-90S,2.900,2272,0.352,,,
